"","Country","Export","Year","import","Net","Region","shape"
"4643","Russia",0,"1961",0,0,"Europe & Central Asia","Target"
"4660","Rwanda",1.4e+07,"1961",1.2e+07,2e+06,"Sub-Saharan Africa","Other"
"4677","Saudi Arabia",0,"1961",0,0,"Middle East & North Africa","Other"
"4694","Sudan",1.89e+08,"1961",203666666.7,-14666666.7,"Sub-Saharan Africa","Other"
"4711","Senegal",224220965.7,"1961",198502373.9,25718591.8,"Sub-Saharan Africa","Other"
"4728","Singapore",1089017379,"1961",1200313603,-111296224,"East Asia & Pacific","Other"
"4745","Solomon Islands",0,"1961",0,0,"East Asia & Pacific","Other"
"4762","Sierra Leone",0,"1961",0,0,"Sub-Saharan Africa","Other"
"4779","El Salvador",0,"1961",0,0,"Latin America & Caribbean","Other"
"4796","San Marino",0,"1961",0,0,"Europe & Central Asia","Other"
"4812","Somalia",0,"1961",0,0,"Sub-Saharan Africa","Other"
"4819","Serbia",0,"1961",0,0,"Europe & Central Asia","Other"
"4832","South Sudan",0,"1961",0,0,"Sub-Saharan Africa","Other"
"4833","Sao Tome and Principe",0,"1961",0,0,"Sub-Saharan Africa","Other"
"4850","Suriname",0,"1961",0,0,"Latin America & Caribbean","Other"
"4867","Slovenia",0,"1961",0,0,"Europe & Central Asia","Other"
"4884","Sweden",3607782141,"1961",3502543049,105239092,"Europe & Central Asia","Other"
"4901","Seychelles",0,"1961",0,0,"Sub-Saharan Africa","Other"
"4912","Chad",46459419.3,"1961",61975054.64,-15515635.34,"Sub-Saharan Africa","Other"
"4929","Togo",49603527.44,"1961",38204515.94,11399011.5,"Sub-Saharan Africa","Other"
"4946","Thailand",525965885.3,"1961",519127759,6838126.30000001,"East Asia & Pacific","Other"
"4963","Tajikistan",0,"1961",0,0,"Europe & Central Asia","Other"
"4980","Turkmenistan",0,"1961",0,0,"Europe & Central Asia","Other"
"4997","Timor-Leste",0,"1961",0,0,"East Asia & Pacific","Other"
"5009","Tonga",0,"1961",0,0,"East Asia & Pacific","Other"
"5026","Tunisia",0,"1961",0,0,"Middle East & North Africa","Other"
"5043","Turkey",411111111.1,"1961",544444444.4,-133333333.3,"Europe & Central Asia","Other"
"5060","Tanzania",0,"1961",0,0,"Sub-Saharan Africa","Other"
"5077","Uganda",107812369,"1961",95562893.08,12249475.92,"Sub-Saharan Africa","Other"
"5094","Ukraine",0,"1961",0,0,"Europe & Central Asia","Other"
"5111","Uruguay",219799542.8,"1961",228591524.5,-8791981.69999999,"Latin America & Caribbean","Other"
"5128","Uzbekistan",0,"1961",0,0,"Europe & Central Asia","Other"
"5145","Vietnam",0,"1961",0,0,"East Asia & Pacific","Other"
"5162","Vanuatu",0,"1961",0,0,"East Asia & Pacific","Other"
"5179","Samoa",0,"1961",0,0,"East Asia & Pacific","Other"
"5196","South Africa",2337953241,"1961",1698166037,639787204,"Sub-Saharan Africa","Other"
"5213","Zambia",0,"1961",0,0,"Sub-Saharan Africa","Other"
