"","Country","Region","Year","GDP per Capita","HDI"
"233","Latvia","Europe & Central Asia",1991,NA,0.699
"234","Lebanon","Middle East & North Africa",1991,1704.079872,NA
"235","Lesotho","Sub-Saharan Africa",1991,430.9096772,0.499
"236","Liberia","Sub-Saharan Africa",1991,NA,NA
"237","Libya","Middle East & North Africa",1991,7040.701924,0.688
"238","Lithuania","Europe & Central Asia",1991,NA,0.728
"239","Luxembourg","Europe & Central Asia",1991,37007.43875,0.79
"240","Madagascar","Sub-Saharan Africa",1991,222.1537443,NA
"241","Malawi","Sub-Saharan Africa",1991,228.5562584,0.346
"242","Malaysia","East Asia & Pacific",1991,2652.144224,0.652
"243","Maldives","South Asia",1991,1064.043684,NA
"244","Mali","Sub-Saharan Africa",1991,314.8369994,0.238
"245","Malta","Middle East & North Africa",1991,7558.277383,0.745
"246","Mauritania","Sub-Saharan Africa",1991,692.3496476,0.379
"247","Mauritius","Sub-Saharan Africa",1991,2669.3277,0.626
"248","Mexico","Latin America & Caribbean",1991,3596.386019,0.654
"249","Mongolia","East Asia & Pacific",1991,1072.635835,0.574
"250","Montenegro","Europe & Central Asia",1991,NA,NA
"251","Morocco","Middle East & North Africa",1991,1263.06008,0.464
"252","Mozambique","Sub-Saharan Africa",1991,240.1242747,0.212
"253","Myanmar","East Asia & Pacific",1991,NA,0.366
"254","Namibia","Sub-Saharan Africa",1991,2041.733508,0.582
"255","Nepal","South Asia",1991,203.7653978,0.386
"256","Netherlands","Europe & Central Asia",1991,21454.86289,0.834
"257","NewZealand","East Asia & Pacific",1991,12233.1323,0.82
"258","Nicaragua","Latin America & Caribbean",1991,351.3981713,0.498
"259","Niger","Sub-Saharan Africa",1991,281.3964667,0.214
"260","Nigeria","Sub-Saharan Africa",1991,502.6121063,NA
"261","Norway","Europe & Central Asia",1991,28596.933,0.856
"262","Oman","Middle East & North Africa",1991,5988.83521,NA
"263","Pakistan","South Asia",1991,410.4740209,0.409
"264","Panama","Latin America & Caribbean",1991,2803.871581,0.665
"265","PapuaNewGuinea","East Asia & Pacific",1991,856.2941361,0.388
"266","Paraguay","Latin America & Caribbean",1991,1615.476618,0.585
"267","Peru","Latin America & Caribbean",1991,1555.980937,0.617
"268","Philippines","East Asia & Pacific",1991,715.1419199,0.587
"269","Poland","Europe & Central Asia",1991,2235.541089,0.711
"270","Portugal","Europe & Central Asia",1991,8959.867208,0.72
"271","Qatar","Middle East & North Africa",1991,14120.29449,0.751
"272","Romania","Europe & Central Asia",1991,1260.749045,0.686
"273","RussianFederation","Europe & Central Asia",1991,3485.056,0.729
"274","Rwanda","Sub-Saharan Africa",1991,271.0814379,0.227
"275","Samoa","East Asia & Pacific",1991,765.4818829,0.622
"276","SaoTomeandPrincipe","Sub-Saharan Africa",1991,NA,0.455
"277","SaudiArabia","Middle East & North Africa",1991,7838.784024,0.706
"278","Senegal","Sub-Saharan Africa",1991,912.9100957,0.367
"279","Serbia","Europe & Central Asia",1991,NA,0.715
"280","Seychelles","Sub-Saharan Africa",1991,5314.663128,NA
"281","SierraLeone","Sub-Saharan Africa",1991,179.8336359,0.267
"282","Singapore","East Asia & Pacific",1991,14505.02039,0.729
"283","Slovenia","Europe & Central Asia",1991,NA,0.765
"284","SolomonIslands","East Asia & Pacific",1991,998.7594523,NA
"285","SouthAfrica","Sub-Saharan Africa",1991,3224.514803,0.626
"286","Spain","Europe & Central Asia",1991,14771.6723,0.764
"287","SriLanka","South Asia",1991,513.1442934,0.63
"288","Sudan","Sub-Saharan Africa",1991,427.8063438,0.336
"289","Suriname","Latin America & Caribbean",1991,1079.197333,NA
"290","Sweden","Europe & Central Asia",1991,31374.11699,0.818
"291","Switzerland","Europe & Central Asia",1991,38399.21061,0.834
"292","SyrianArabRepublic","Middle East & North Africa",1991,1013.001286,0.562
"293","Tajikistan","Europe & Central Asia",1991,469.3306256,0.618
"294","Thailand","East Asia & Pacific",1991,1715.638125,0.583
"295","Togo","Sub-Saharan Africa",1991,412.722312,0.408
"296","Tonga","East Asia & Pacific",1991,1386.730109,0.654
"297","TrinidadandTobago","Latin America & Caribbean",1991,4315.696945,0.673
"298","Tunisia","Middle East & North Africa",1991,1553.251774,0.575
"299","Turkey","Europe & Central Asia",1991,2735.710807,0.583
"300","Turkmenistan","Europe & Central Asia",1991,846.6461572,NA
"301","Uganda","Sub-Saharan Africa",1991,184.126852,0.311
"302","Ukraine","Europe & Central Asia",1991,1489.689635,0.701
"303","UnitedArabEmirates","Middle East & North Africa",1991,26168.26662,0.738
"304","UnitedKingdom","Europe & Central Asia",1991,19900.72665,0.788
"305","UnitedStates","North America",1991,24405.16481,0.861
"306","Uruguay","Latin America & Caribbean",1991,3577.839165,0.697
"307","Uzbekistan","Europe & Central Asia",1991,652.8074753,NA
"308","Vanuatu","East Asia & Pacific",1991,1252.636231,NA
"309","Zambia","Sub-Saharan Africa",1991,410.0718753,0.402
"310","Zimbabwe","Sub-Saharan Africa",1991,827.4869403,0.494
"311","Albania","Europe & Central Asia",1992,200.8522198,0.61
"312","Algeria","Middle East & North Africa",1992,1766.054678,0.587
"313","Angola","Sub-Saharan Africa",1992,640.6222979,NA
"314","AntiguaandBarbuda","Latin America & Caribbean",1992,7296.551713,NA
"315","Argentina","Latin America & Caribbean",1992,6798.026763,0.72
"316","Armenia","Europe & Central Asia",1992,369.6333681,0.58
"317","Australia","East Asia & Pacific",1992,18569.76879,0.868
"318","Austria","Europe & Central Asia",1992,24880.16407,0.805
"319","Azerbaijan","Europe & Central Asia",1992,673.331934,NA
"320","Bahrain","Middle East & North Africa",1992,9082.741169,0.757
"321","Bangladesh","South Asia",1992,285.0955051,0.402
"322","Barbados","Latin America & Caribbean",1992,7440.957495,0.718
"323","Belarus","Europe & Central Asia",1992,1667.681777,NA
"324","Belgium","Europe & Central Asia",1992,23497.72741,0.825
"325","Belize","Latin America & Caribbean",1992,2666.977671,0.657
"326","Benin","Sub-Saharan Africa",1992,317.9628553,0.358
"327","Bhutan","South Asia",1992,471.8392542,NA
"328","BosniaandHerzegovina","Europe & Central Asia",1992,NA,NA
"329","Botswana","Sub-Saharan Africa",1992,2848.206987,0.587
"330","Brazil","Latin America & Caribbean",1992,2591.797116,0.622
"331","BruneiDarussalam","East Asia & Pacific",1992,15270.48612,0.792
"332","Bulgaria","Europe & Central Asia",1992,1211.980878,0.691
"333","BurkinaFaso","Sub-Saharan Africa",1992,240.963481,NA
"334","Burundi","Sub-Saharan Africa",1992,191.310913,0.297
"335","Cambodia","East Asia & Pacific",1992,NA,0.373
"336","Cameroon","Sub-Saharan Africa",1992,918.3958707,0.432
"337","Canada","North America",1992,20771.25035,0.856
"338","CentralAfricanRepublic","Sub-Saharan Africa",1992,456.074154,0.299
"339","Chad","Sub-Saharan Africa",1992,296.3964872,NA
"340","Chile","Latin America & Caribbean",1992,3362.169308,0.719
"341","China","East Asia & Pacific",1992,366.4606923,0.521
"342","Colombia","Latin America & Caribbean",1992,1642.889504,0.606
"343","Comoros","Sub-Saharan Africa",1992,1047.979551,NA
"344","CostaRica","Latin America & Caribbean",1992,2618.168055,0.67
"345","Croatia","Europe & Central Asia",1992,NA,0.664
"346","Cuba","Latin America & Caribbean",1992,2057.682969,0.663
"347","Cyprus","Europe & Central Asia",1992,11310.07192,0.74
"348","Denmark","Europe & Central Asia",1992,29569.65453,0.809
"349","Djibouti","Middle East & North Africa",1992,777.2623296,NA
"350","Dominica","Latin America & Caribbean",1992,3297.988717,NA
"351","DominicanRepublic","Latin America & Caribbean",1992,1520.545463,0.612
"352","Ecuador","Latin America & Caribbean",1992,1690.155141,0.65
"353","ElSalvador","Latin America & Caribbean",1992,1076.489441,0.546
"354","EquatorialGuinea","Sub-Saharan Africa",1992,295.9634764,NA
"355","Eritrea","Sub-Saharan Africa",1992,152.9867265,NA
"356","Estonia","Europe & Central Asia",1992,NA,0.719
"357","Ethiopia","Sub-Saharan Africa",1992,203.1645022,NA
"358","Fiji","East Asia & Pacific",1992,2057.40669,0.655
"359","Finland","Europe & Central Asia",1992,22337.48712,0.795
"360","France","Europe & Central Asia",1992,23813.71184,0.798
"361","Gabon","Sub-Saharan Africa",1992,5566.362537,0.624
"362","Georgia","Europe & Central Asia",1992,757.2235485,NA
"363","Germany","Europe & Central Asia",1992,26333.53744,0.814
"364","Ghana","Sub-Saharan Africa",1992,414.7673408,0.464
"365","Greece","Europe & Central Asia",1992,11176.45844,0.764
"366","Grenada","Latin America & Caribbean",1992,3191.016733,NA
"367","Guatemala","Latin America & Caribbean",1992,1075.428217,0.49
"368","Guinea","Sub-Saharan Africa",1992,485.9748491,0.283
"369","Guinea-Bissau","Sub-Saharan Africa",1992,212.9407638,NA
"370","Guyana","Latin America & Caribbean",1992,499.3398796,0.548
"371","Haiti","Latin America & Caribbean",1992,305.5542584,0.406
"372","Honduras","Latin America & Caribbean",1992,942.0455266,0.513
"373","Hungary","Europe & Central Asia",1992,3734.561856,NA
